filename,label,fold
img_001.jpg,moderate,0
img_002.jpg,severe,0
img_003.jpg,healthy,0
img_004.jpg,severe,1
img_005.jpg,moderate,1
img_006.jpg,severe,2
img_007.jpg,moderate,2
img_008.jpg,severe,3
img_009.jpg,severe,4
img_010.jpg,healthy,1
img_011.jpg,moderate,3
img_012.jpg,moderate,4
img_013.jpg,healthy,2
img_014.jpg,severe,0
img_015.jpg,severe,1
img_016.jpg,healthy,3
img_017.jpg,healthy,4
img_018.jpg,severe,2
img_019.jpg,healthy,0
img_020.jpg,healthy,1
img_021.jpg,severe,3
img_022.jpg,severe,4
img_023.jpg,moderate,0
img_024.jpg,moderate,1
img_025.jpg,healthy,2
img_026.jpg,moderate,2
img_027.jpg,healthy,3
img_028.jpg,moderate,3
img_029.jpg,moderate,4
img_030.jpg,healthy,4
img_031.jpg,healthy,0
img_032.jpg,healthy,1
img_033.jpg,moderate,0
img_034.jpg,moderate,1
img_035.jpg,severe,0
img_036.jpg,severe,1
img_037.jpg,moderate,2
img_038.jpg,severe,2
img_039.jpg,healthy,2
img_040.jpg,moderate,3
img_041.jpg,moderate,4
img_042.jpg,healthy,3
img_043.jpg,healthy,4
img_044.jpg,moderate,0
img_045.jpg,moderate,1
img_046.jpg,healthy,0
img_047.jpg,healthy,1
img_048.jpg,moderate,2
img_049.jpg,severe,3
img_050.jpg,severe,4
img_051.jpg,severe,0
img_052.jpg,healthy,2
img_053.jpg,severe,1
img_054.jpg,moderate,3
img_055.jpg,severe,2
img_056.jpg,healthy,3
img_057.jpg,healthy,4
img_058.jpg,severe,3
img_059.jpg,severe,4
img_062.jpg,moderate,4
